task,response_regime,reward_variant,method,method_group,seed,true_return,exact_behavior_policy_value,paired_behavior_relative_return_difference,paired_standard_error,unsupported_action_mass,policy_probability_complete,rank_within_task_regime_reward_seed,paired_difference_definition
shock,weak,primary_dense_plus_terminal,behavior_cloning,model_free,3414,0.3639092322755541,0.3565437931259928,0.0013081487978046,0.0014884952726708,0.0,True,29.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,discrete_bcq,model_free,3414,0.3546462935979474,0.3565437931259928,-0.0079547898798021,0.0014594253337368,0.0,True,32.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,discrete_cql,model_free,3414,0.3517735502651012,0.3565437931259928,-0.0108275332126482,0.0016079178672565,0.0,True,33.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,soft_spibb,model_free,3414,0.3570991115016161,0.3565437931259928,-0.0055019719761333,0.0015056440904889,0.0,True,31.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,decision_transformer_adapter,model_free,3414,0.3646909101862596,0.3565437931259928,0.00208982670851,0.0014562116150008,0.0,True,28.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,empirical_behavior,control,3414,0.3649186351342283,0.3565437931259928,0.0023175516564787,0.0014799848154764,0.0,True,27.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,random_supported,control,3414,0.3705926783323114,0.3565437931259928,0.0079915948545619,0.0015343856685689,0.0,True,26.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,minimum_supported_action,control,3414,0.3470876930974336,0.3565437931259928,-0.0155133903803159,0.0016639682032709,0.0,True,34.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,maximum_supported_action,control,3414,0.3913111706134552,0.3565437931259928,0.0287100871357056,0.0022628173954544,0.0,True,1.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,severity_rule,control,3414,0.3633610359363466,0.3565437931259928,0.0007599524585971,0.0012314625001148,0.0,True,30.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3414,0.3744614597849533,0.3565437931259928,0.0118603763072037,0.0016044689887669,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3755671117231881,0.3565437931259928,0.0129660282454385,0.0016560434781726,0.0,True,3.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3735383671066975,0.3565437931259928,0.0109372836289479,0.0016174425018057,0.0,True,10.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3725699920134333,0.3565437931259928,0.0099689085356838,0.0016386873762861,0.0,True,19.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3721582575613451,0.3565437931259928,0.0095571740835955,0.0016436563006103,0.0,True,23.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H1_exhaustive__support_constrained,world_model_planner,3414,0.3744614597849533,0.3565437931259928,0.0118603763072037,0.0016044689887669,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3755671117231881,0.3565437931259928,0.0129660282454385,0.0016560434781726,0.0,True,3.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3725699920134333,0.3565437931259928,0.0099689085356838,0.0016386873762861,0.0,True,19.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3718342417394466,0.3565437931259928,0.009233158261697,0.0016625288083477,0.0,True,25.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,world_model_planner,3414,0.3744614597849533,0.3565437931259928,0.0118603763072037,0.0016044689887669,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3755671117231881,0.3565437931259928,0.0129660282454385,0.0016560434781726,0.0,True,3.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3725699920134333,0.3565437931259928,0.0099689085356838,0.0016386873762861,0.0,True,19.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3720422836920357,0.3565437931259928,0.0094412002142861,0.0016475032661218,0.0,True,24.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,world_model_planner,3414,0.3744614597849533,0.3565437931259928,0.0118603763072037,0.0016044689887669,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3744614597849533,0.3565437931259928,0.0118603763072037,0.0016044689887669,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3733289597780382,0.3565437931259928,0.0107278763002887,0.0016065681949349,0.0,True,14.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3735383671066975,0.3565437931259928,0.0109372836289479,0.0016174425018057,0.0,True,10.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3725699920134333,0.3565437931259928,0.0099689085356838,0.0016386873762861,0.0,True,19.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,weak,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3723648074754243,0.3565437931259928,0.0097637239976747,0.0016542499034563,0.0,True,22.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,behavior_cloning,model_free,3414,0.3500555940242505,0.3433765090854246,0.0030506766119967,0.0024157702051646,0.0,True,29.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,discrete_bcq,model_free,3414,0.3259362077415737,0.3433765090854246,-0.0210687096706801,0.0022376587982261,0.0,True,32.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,discrete_cql,model_free,3414,0.317709086300121,0.3433765090854246,-0.0292958311121327,0.002587123732377,0.0,True,33.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,soft_spibb,model_free,3414,0.3313610214209381,0.3433765090854246,-0.0156438959913157,0.0024201374667787,0.0,True,31.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,decision_transformer_adapter,model_free,3414,0.3484625745139485,0.3433765090854246,0.0014576571016946,0.0023959047681299,0.0,True,30.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,empirical_behavior,control,3414,0.351892603709681,0.3433765090854246,0.0048876862974271,0.0024924690119624,0.0,True,28.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,random_supported,control,3414,0.3701154181161953,0.3433765090854246,0.0231105007039414,0.0025646647144923,0.0,True,26.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,minimum_supported_action,control,3414,0.3080983539563576,0.3433765090854246,-0.0389065634558962,0.0024787652074185,0.0,True,34.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,maximum_supported_action,control,3414,0.4288428625882575,0.3433765090854246,0.0818379451760036,0.0038503833439347,0.0,True,1.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,severity_rule,control,3414,0.3524183338768191,0.3433765090854246,0.0054134164645653,0.0022992770622573,0.0,True,27.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3414,0.3853847765270137,0.3433765090854246,0.0383798591147599,0.0029686674386461,0.0,True,7.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,moderate,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3878196674288721,0.3433765090854246,0.0408147500166183,0.0030117639905766,0.0,True,3.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
